Country,City,Latitude,Longitude
India,Delhi,28.7041,77.1025
India,Mumbai,19.0760,72.8777
India,Kolkata,22.5726,88.3639
India,Chennai,13.0827,80.2707
India,Bangalore,12.9716,77.5946
India,Hyderabad,17.3850,78.4867
India,Ahmedabad,23.0225,72.5714
India,Pune,18.5204,73.8567
India,Jaipur,26.9124,75.7873
India,Surat,21.1702,72.8311
India,Lucknow,26.8467,80.9462
India,Kanpur,26.4499,80.3319
India,Nagpur,21.1458,79.0882
India,Indore,22.7196,75.8577
India,Thane,19.2183,72.9781
India,Bhopal,23.2599,77.4126
India,Visakhapatnam,17.6868,83.2185
India,Patna,25.5941,85.1376
India,Vadodara,22.3072,73.1812
India,Ghaziabad,28.6692,77.4538
India,Ludhiana,30.9000,75.8573
India,Agra,27.1767,78.0081
India,Nashik,19.9975,73.7898
India,Faridabad,28.4089,77.3178
India,Meerut,28.9845,77.7064
India,Rajkot,22.3039,70.8022
India,Kalyan,19.2403,73.1305
India,Vasai,19.4910,72.8050
India,Varanasi,25.3176,82.9739
India,Srinagar,34.0837,74.7973
India,Aurangabad,19.8762,75.3433
India,Dhanbad,23.7957,86.4304
India,Amritsar,31.6340,74.8723
India,Allahabad,25.4358,81.8463
India,Howrah,22.5958,88.2636
India,Gwalior,26.2183,78.1828
India,Jabalpur,23.1815,79.9864
India,Coimbatore,11.0168,76.9558
India,Vijayawada,16.5062,80.6480
India,Jodhpur,26.2389,73.0243
India,Madurai,9.9252,78.1198
India,Raipur,21.2514,81.6296
India,Kota,25.2138,75.8648
India,Guwahati,26.1445,91.7362
India,Chandigarh,30.7333,76.7794
India,Solapur,17.6599,75.9064
India,Hubli,15.3647,75.1240
India,Mysore,12.2958,76.6394
India,Tiruchirappalli,10.7905,78.7047
India,Bareilly,28.3670,79.4304
