Source,Destination,Transport,Time,Cost,Note
Delhi,Lucknow,bus,8,550,normal
Lucknow,Allahabad,bus,4,200,short
Allahabad,Varanasi,bus,3,120,short
Varanasi,Patna,bus,5,250,highway
Delhi,Jaipur,bus,5,280,normal
Jaipur,Ahmedabad,bus,10,650,long
Ahmedabad,Mumbai,bus,8,550,normal
Mumbai,Pune,bus,3,150,short
Pune,Bangalore,plane,10,800,fast
Bangalore,Chennai,bus,6,350,short
Chennai,Hyderabad,bus,10,630,long
Hyderabad,Nagpur,bus,8,500,normal
Nagpur,Bhopal,bus,6,400,normal
Bhopal,Delhi,bus,12,780,long
Kolkata,Patna,bus,10,600,long
Kolkata,Guwahati,plane,8,900,fast
Raipur,Nagpur,bus,5,300,normal
Indore,Bhopal,bus,3,200,short
Surat,Mumbai,bus,4,250,short
Amritsar,Delhi,bus,8,500,normal
Chandigarh,Delhi,bus,5,250,short
Srinagar,Chandigarh,plane,6,700,fast
Coimbatore,Bangalore,bus,6,350,short
Mysore,Bangalore,bus,3,150,short
Madurai,Chennai,bus,8,450,normal
Visakhapatnam,Hyderabad,bus,8,500,normal
Vijayawada,Hyderabad,bus,5,300,short
Jodhpur,Jaipur,bus,6,350,normal
Kota,Jaipur,bus,4,200,short
Gwalior,Delhi,bus,6,350,normal
Jabalpur,Nagpur,bus,5,300,normal
Dhanbad,Kolkata,bus,5,300,normal
Howrah,Kolkata,bus,1,50,local
Aurangabad,Mumbai,bus,6,350,normal
Nashik,Mumbai,bus,4,250,short
Faridabad,Delhi,bus,1,50,local
Ghaziabad,Delhi,bus,1,50,local
Meerut,Delhi,bus,2,100,short
Bareilly,Lucknow,bus,5,300,normal
Solapur,Pune,bus,4,250,short
Hubli,Bangalore,bus,7,400,normal
Tiruchirappalli,Chennai,bus,6,350,normal
